time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000012
0.010000,0.000000,0.000000,0.000002,0.000012
0.015000,0.000000,0.000000,0.000005,0.000015
0.020000,0.000000,0.000000,0.000012,0.000019
0.025000,0.000000,0.000000,0.000018,0.000029
0.030000,0.000000,0.000000,0.000020,0.000033
0.035000,0.000000,0.000001,0.000011,0.000030
0.040000,0.000000,0.000001,-0.000011,0.000018
0.045000,0.000000,0.000001,-0.000048,-0.000018
0.050000,-0.000000,0.000001,-0.000099,-0.000054
0.055000,-0.000001,0.000000,-0.000161,-0.000122
0.060000,-0.000002,-0.000000,-0.000236,-0.000176
0.065000,-0.000003,-0.000001,-0.000320,-0.000272
0.070000,-0.000005,-0.000003,-0.000410,-0.000343
0.075000,-0.000008,-0.000005,-0.000499,-0.000452
0.080000,-0.000010,-0.000007,-0.000588,-0.000523
0.085000,-0.000014,-0.000010,-0.000678,-0.000629
0.090000,-0.000017,-0.000013,-0.000772,-0.000702
0.095000,-0.000021,-0.000017,-0.000872,-0.000818
0.100000,-0.000026,-0.000021,-0.000979,-0.000901
0.105000,-0.000031,-0.000026,-0.001093,-0.001035
0.110000,-0.000037,-0.000030,-0.001210,-0.001128
0.115000,-0.000043,-0.000037,-0.001328,-0.001269
0.120000,-0.000050,-0.000043,-0.001442,-0.001362
0.125000,-0.000058,-0.000051,-0.001554,-0.001498
0.130000,-0.000066,-0.000057,-0.001664,-0.001587
0.135000,-0.000075,-0.000067,-0.001771,-0.001718
0.140000,-0.000084,-0.000074,-0.001871,-0.001801
0.145000,-0.000094,-0.000085,-0.001962,-0.001916
0.150000,-0.000104,-0.000093,-0.002040,-0.001984
0.155000,-0.000114,-0.000105,-0.002102,-0.002069
0.160000,-0.000125,-0.000113,-0.002149,-0.002113
0.165000,-0.000135,-0.000126,-0.002181,-0.002160
0.170000,-0.000146,-0.000135,-0.002199,-0.002180
0.175000,-0.000157,-0.000148,-0.002204,-0.002192
0.180000,-0.000168,-0.000156,-0.002202,-0.002192
0.185000,-0.000179,-0.000170,-0.002197,-0.002187
0.190000,-0.000190,-0.000178,-0.002192,-0.002183
0.195000,-0.000201,-0.000191,-0.002185,-0.002177
0.200000,-0.000212,-0.000200,-0.002172,-0.002169
0.205000,-0.000223,-0.000213,-0.002154,-0.002151
0.210000,-0.000234,-0.000222,-0.002130,-0.002134
0.215000,-0.000244,-0.000234,-0.002101,-0.002102
0.220000,-0.000255,-0.000243,-0.002069,-0.002077
0.225000,-0.000265,-0.000255,-0.002036,-0.002037
0.230000,-0.000275,-0.000263,-0.002003,-0.002010
0.235000,-0.000285,-0.000275,-0.001971,-0.001972
0.240000,-0.000295,-0.000283,-0.001942,-0.001947
0.245000,-0.000304,-0.000295,-0.001915,-0.001914
0.250000,-0.000314,-0.000302,-0.001889,-0.001893
0.255000,-0.000323,-0.000314,-0.001859,-0.001862
0.260000,-0.000332,-0.000321,-0.001821,-0.001836
0.265000,-0.000341,-0.000332,-0.001769,-0.001783
0.270000,-0.000350,-0.000339,-0.001702,-0.001735
0.275000,-0.000358,-0.000349,-0.001622,-0.001646
0.280000,-0.000366,-0.000356,-0.001532,-0.001578
0.285000,-0.000374,-0.000365,-0.001433,-0.001463
0.290000,-0.000380,-0.000371,-0.001332,-0.001382
0.295000,-0.000387,-0.000379,-0.001236,-0.001261
0.300000,-0.000393,-0.000384,-0.001152,-0.001188
0.305000,-0.000398,-0.000391,-0.001083,-0.001097
0.310000,-0.000403,-0.000395,-0.001024,-0.001047
0.314999,-0.000408,-0.000401,-0.000974,-0.000984
0.319999,-0.000413,-0.000405,-0.000928,-0.000946
0.324999,-0.000418,-0.000411,-0.000883,-0.000892
0.329999,-0.000422,-0.000414,-0.000834,-0.000856
0.334999,-0.000426,-0.000419,-0.000779,-0.000794
0.339999,-0.000430,-0.000422,-0.000718,-0.000747
0.344999,-0.000433,-0.000427,-0.000651,-0.000670
0.349999,-0.000436,-0.000429,-0.000582,-0.000615
0.354999,-0.000439,-0.000433,-0.000515,-0.000534
0.359999,-0.000441,-0.000435,-0.000449,-0.000481
0.364999,-0.000443,-0.000438,-0.000386,-0.000402
0.369999,-0.000445,-0.000439,-0.000328,-0.000353
0.374999,-0.000446,-0.000441,-0.000278,-0.000289
0.379999,-0.000448,-0.000442,-0.000229,-0.000251
0.384999,-0.000449,-0.000444,-0.000176,-0.000192
0.389999,-0.000449,-0.000445,-0.000112,-0.000146
0.394998,-0.000450,-0.000445,-0.000035,-0.000062
0.399998,-0.000450,-0.000445,0.000052,0.000004
0.404998,-0.000449,-0.000445,0.000147,0.000113
0.409998,-0.000448,-0.000445,0.000247,0.000192
0.414998,-0.000447,-0.000443,0.000352,0.000316
0.419998,-0.000444,-0.000442,0.000458,0.000400
0.424998,-0.000442,-0.000439,0.000561,0.000528
0.429998,-0.000439,-0.000437,0.000658,0.000608
0.434998,-0.000435,-0.000433,0.000747,0.000720
0.439998,-0.000431,-0.000430,0.000828,0.000788
0.444998,-0.000427,-0.000425,0.000898,0.000879
0.449998,-0.000422,-0.000422,0.000956,0.000930
0.454998,-0.000417,-0.000416,0.001000,0.000991
0.459998,-0.000412,-0.000412,0.001034,0.001021
0.464998,-0.000407,-0.000406,0.001058,0.001054
0.469997,-0.000402,-0.000402,0.001077,0.001070
0.474997,-0.000396,-0.000395,0.001095,0.001092
0.479997,-0.000391,-0.000391,0.001114,0.001106
0.484997,-0.000385,-0.000384,0.001134,0.001130
0.489997,-0.000379,-0.000380,0.001152,0.001145
0.494997,-0.000373,-0.000373,0.001164,0.001164
0.499997,-0.000368,-0.000368,0.001167,0.001171
0.504997,-0.000362,-0.000361,0.001160,0.001168
