time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-1.000001,-0.999999,-0.000347,0.000026
0.010000,-1.000004,-1.000000,-0.000961,-0.000377
0.015000,-1.000011,-1.000004,-0.001675,-0.001278
0.020000,-1.000023,-1.000010,-0.002627,-0.002041
0.025000,-1.000040,-1.000025,-0.003885,-0.003367
0.030000,-1.000064,-1.000039,-0.005648,-0.004723
0.035000,-1.000098,-1.000072,-0.007330,-0.006836
0.040000,-1.000137,-1.000100,-0.008183,-0.007620
0.045000,-1.000181,-1.000148,-0.009234,-0.008808
0.050000,-1.000231,-1.000184,-0.010490,-0.009935
0.055000,-1.000286,-1.000246,-0.011307,-0.010878
0.060000,-1.000344,-1.000290,-0.011964,-0.011452
0.065000,-1.000405,-1.000360,-0.012276,-0.011829
0.070000,-1.000467,-1.000408,-0.012302,-0.011918
0.075000,-1.000529,-1.000479,-0.012452,-0.011937
0.080000,-1.000592,-1.000527,-0.013053,-0.012311
0.085000,-1.000661,-1.000603,-0.014236,-0.013597
0.090000,-1.000735,-1.000658,-0.015083,-0.014441
0.095000,-1.000813,-1.000746,-0.015701,-0.015110
0.100000,-1.000893,-1.000807,-0.016250,-0.015469
0.105000,-1.000976,-1.000901,-0.017039,-0.016409
0.110000,-1.001064,-1.000968,-0.017815,-0.016989
0.115000,-1.001154,-1.001071,-0.018204,-0.017628
0.120000,-1.001245,-1.001142,-0.018177,-0.017598
0.125000,-1.001336,-1.001247,-0.018194,-0.017525
0.130000,-1.001428,-1.001317,-0.018630,-0.017738
0.135000,-1.001522,-1.001425,-0.019141,-0.018290
0.140000,-1.001620,-1.001498,-0.019640,-0.018623
0.145000,-1.001719,-1.001611,-0.020025,-0.019235
0.150000,-1.001821,-1.001688,-0.020340,-0.019519
0.155000,-1.001922,-1.001806,-0.020140,-0.019427
0.160000,-1.002022,-1.001883,-0.019924,-0.019153
0.165000,-1.002121,-1.001998,-0.019815,-0.019067
0.170000,-1.002220,-1.002074,-0.019580,-0.018823
0.175000,-1.002317,-1.002187,-0.019275,-0.018535
0.180000,-1.002412,-1.002261,-0.019063,-0.018314
0.185000,-1.002508,-1.002371,-0.019158,-0.018435
0.190000,-1.002603,-1.002444,-0.018929,-0.018392
0.195000,-1.002695,-1.002553,-0.017897,-0.017217
0.200000,-1.002783,-1.002621,-0.017435,-0.016731
0.205000,-1.002869,-1.002721,-0.017305,-0.016489
0.210000,-1.002956,-1.002787,-0.017149,-0.016487
0.215000,-1.003040,-1.002885,-0.016510,-0.015765
0.220000,-1.003120,-1.002947,-0.016012,-0.015279
0.225000,-1.003199,-1.003038,-0.015659,-0.014867
0.230000,-1.003277,-1.003097,-0.015517,-0.014617
0.235000,-1.003355,-1.003185,-0.015642,-0.014649
0.240000,-1.003435,-1.003244,-0.016154,-0.015078
0.245000,-1.003516,-1.003336,-0.016228,-0.015345
0.250000,-1.003597,-1.003397,-0.016059,-0.015142
0.255000,-1.003676,-1.003487,-0.015638,-0.014753
0.260000,-1.003752,-1.003546,-0.014859,-0.014228
0.265000,-1.003824,-1.003629,-0.014273,-0.013452
0.270000,-1.003894,-1.003683,-0.013817,-0.012949
0.275000,-1.003962,-1.003760,-0.013503,-0.012566
0.280000,-1.004029,-1.003810,-0.013248,-0.012459
0.285000,-1.004094,-1.003884,-0.012906,-0.011983
0.290000,-1.004159,-1.003932,-0.012880,-0.011954
0.295000,-1.004222,-1.004003,-0.012547,-0.011747
0.300000,-1.004283,-1.004050,-0.011951,-0.011408
0.305000,-1.004341,-1.004116,-0.011129,-0.010396
0.310000,-1.004394,-1.004157,-0.010221,-0.009712
0.314999,-1.004441,-1.004212,-0.008808,-0.007965
0.319999,-1.004480,-1.004243,-0.007471,-0.006857
0.324999,-1.004516,-1.004282,-0.006744,-0.005883
0.329999,-1.004548,-1.004305,-0.006282,-0.005306
0.334999,-1.004578,-1.004336,-0.006091,-0.005107
0.339999,-1.004608,-1.004356,-0.005709,-0.004891
0.344999,-1.004635,-1.004384,-0.005068,-0.004155
0.349999,-1.004657,-1.004400,-0.004121,-0.003323
0.354999,-1.004675,-1.004418,-0.003138,-0.002136
0.359999,-1.004687,-1.004426,-0.002231,-0.001368
0.364999,-1.004697,-1.004432,-0.001702,-0.000609
0.369999,-1.004704,-1.004434,-0.001280,-0.000175
0.374999,-1.004710,-1.004435,-0.000880,0.000111
0.379999,-1.004713,-1.004434,-0.000545,0.000424
0.384999,-1.004714,-1.004430,-0.000001,0.001094
0.389999,-1.004713,-1.004426,0.000266,0.001350
0.394998,-1.004712,-1.004417,0.000371,0.001560
0.399998,-1.004709,-1.004411,0.000582,0.001711
0.404998,-1.004705,-1.004399,0.001139,0.002280
0.409998,-1.004696,-1.004390,0.002028,0.002956
0.414998,-1.004685,-1.004370,0.002673,0.003855
0.419998,-1.004669,-1.004353,0.003416,0.004516
0.424998,-1.004650,-1.004325,0.003782,0.005012
0.429998,-1.004631,-1.004305,0.003782,0.005045
0.434998,-1.004615,-1.004276,0.002999,0.004242
0.439998,-1.004601,-1.004259,0.002408,0.003672
0.444998,-1.004591,-1.004238,0.001922,0.003134
0.449998,-1.004583,-1.004226,0.001344,0.002762
0.454998,-1.004579,-1.004211,0.000417,0.001729
0.459998,-1.004580,-1.004205,-0.000636,0.000916
0.464998,-1.004586,-1.004202,-0.001616,-0.000348
0.469997,-1.004596,-1.004204,-0.002374,-0.001135
0.474997,-1.004609,-1.004212,-0.002563,-0.001500
0.479997,-1.004622,-1.004218,-0.002754,-0.001728
0.484997,-1.004636,-1.004228,-0.002602,-0.001541
0.489997,-1.004649,-1.004235,-0.002488,-0.001542
0.494997,-1.004660,-1.004243,-0.002013,-0.001004
0.499997,-1.004668,-1.004247,-0.001657,-0.000644
0.504997,-1.004677,-1.004251,-0.001756,-0.000734
0.509997,-1.004686,-1.004253,-0.001570,-0.000721
0.514997,-1.004691,-1.004256,-0.000957,-0.000004
0.519997,-1.004696,-1.004256,-0.000755,0.000213
0.524997,-1.004698,-1.004253,-0.000189,0.000786
0.529997,-1.004698,-1.004250,-0.000214,0.000982
0.534997,-1.004701,-1.004245,-0.000435,0.000660
