# time,	x,	y,	z,	vx,	vy,	vz,	yaw
5.0,	0, 	0, 	-1, 	0, 	0, 	0,	0
6.0,	3, 	0, 	-1, 	0, 	0, 	0,	0

7.0, 	3, 	0, 	-1, 	0, 	0, 	0,	1.57
8.0, 	3, 	3, 	-1, 	0, 	0, 	0,	1.57
9.0, 	3, 	3, 	-1, 	0, 	0, 	0,	3.14
10.0, 	-3,	3, 	-1, 	0, 	0, 	0,	3.14
11.0, 	-3,	3, 	-1, 	0, 	0, 	0,	-1.57
12.0, 	-3,	-3,	-1, 	0, 	0, 	0,	-1.57
13.0, 	-3,	-3,	-1, 	0, 	0, 	0,	0
14.0, 	3,	-3,	-1, 	0, 	0, 	0,	0
15.0, 	3,	-3,	-1, 	0, 	0, 	0,	1.57

16.0, 	3, 	3, 	-1, 	0, 	0, 	0,	1.57
17.0, 	3, 	3, 	-1, 	0, 	0, 	0,	3.14
18.0, 	-3,	3, 	-1, 	0, 	0, 	0,	3.14
19.0, 	-3,	3, 	-1, 	0, 	0, 	0,	-1.57
20.0, 	-3,	-3,	-1, 	0, 	0, 	0,	-1.57
21.0, 	-3,	-3,	-1, 	0, 	0, 	0,	0
22.0, 	3,	-3,	-1, 	0, 	0, 	0,	0
23.0, 	3,	-3,	-1, 	0, 	0, 	0,	1.57
